acceptedSymbol,taxon_id
"ANQUQ","239229"
"ANRI","158367"
"ANTU","75444"
"ANTUT","NaN"
"ANTUT2","NaN"
"ANVI3","126369"
"ANVIA2","950756"
"ANVIC","239230"
"ANVIV2","239232"
"ANCA10","60241"
"ANCI2","275629"
"ANMA24","158369"
"ANPI7","56437"
"ANPIA","NaN"
"ANPIP","NaN"
"ANBE2","123614"
"ANAM","158371"
"ANAR3","75446"
"ANAT","129689"
"ANBR5","75447"
"ANCA32","75448"
"ANCA13","75449"
"ANCA11","158372"
"ANDA","158373"
"ANDE4","158374"
"ANGE2","75450"
"ANGR3","158375"
"ANHE","64289"
"ANKI","75451"
"ANLI2","75452"
"ANLU","75453"
"ANPI2","158377"
"ANRO","158378"
"ANSC9","158379"
"ANTO","52835"
"ANTR2","158381"
"ANVE","158382"
"ANWH","158383"
"ANSA3","410973"
"ANEV","122319"
"ANBR7","1111752"
"ANLI3","158384"
"ANPU6","158385"
"ANQU2","158386"
"ANQUW","239233"
"ANTH2","158387"
"ANMA4","158388"
"ANMAN","NaN"
"ANMA26","53137"
"ANSC14","53139"
"ANAC","57910"
"ANGL4","69972"
"ANMO","430650"
"ANMU2","284503"
"ANRE","284506"
"ANSQ","69973"
"ANAB","158389"
"ANCR","158390"
"ANCR2","75455"
"ANLA4","158391"
"ANPE4","75456"
"ANRE2","158392"
"ANTH3","158393"
"ANAE","158394"
"ANIN10","158395"
"ANTE10","1597713"
"ANSA2","158397"
"ANFI4","154412"
"ANLE13","158398"
"ANAT4","158399"
"ANMI9","158400"
"ANRO6","134217"
"ANRU5","158401"
"ANVI14","158402"
"ANHE2","NaN"
"ANHEI","NaN"
"ANVE2","158405"
"ANER2","NaN"
"ANFO","NaN"
"ANMA6","NaN"
"ANOB3","1259826"
"ANAL4","154163"
"ANAN2","158406"
"ANAR4","158407"
"ANAR5","75458"
"ANAR10","158408"
"ANCO","75459"
"ANDE9","158409"
"ANDI2","75460"
"ANDI3","51893"
"ANFL2","75461"
"ANFR","158411"
"ANFRA","234273"
"ANFRF","234274"
"ANFRN","234275"
"ANGE3","75462"
